ISBN,書名,作者,出版社,出版日期,封面圖片
9789575034986,教學力：深化素養學習的關鍵,藍偉瑩,親子天下（親子教養童書）,2019-09-23,
9786269632510,語言、語文與閱讀,柯華葳-著,清大,2022-11-18,
9786263733787,數學小偵探7【金石堂、博客來熱銷】,楊嘉慧,康軒文教事業股份有限公司,2024-06-13,
9786267429846,疑難雜症旅行社（2）：魔獸牧場寄宿之旅（廣?玲子嶄新業務）,廣?玲子,黃薇嬪,小熊,
9786267429839,疑難雜症旅行社（1）：沙漠果實採摘之旅（廣?玲子嶄新業務）,廣?玲子,黃薇嬪,小熊,
9789571367330,書房的鑰匙,喜多川泰,黃毓婷,時報文化出版企業股份有限公司,
9789863847236,從謊言開始的旅程（三版）：熊本少年一個人的東京修業旅行,喜多川泰,陳嫺若,野人文化股份有限公司,
9789575707682,遇見靈熊,班．麥可森,李畹琪,台灣東方出版社股份有限公司,
9786269631285,歡迎搭乘轉運計程車,喜多川泰,王蘊潔,大樹林,
9786263557444,AI世界的底層邏輯與生存法則 (電子書),程世嘉,天下文化,2024-04-30,
9786267383483,AI職場：智慧浪潮的工作新規則【金石堂、博客來熱銷】,洪錦魁,深智數位股份有限公司,2024-03-13,
9786263057678,過曝世代：青少年為什麼更不快樂、更缺乏安全感、自我評價更低落? (電子書),陳品皓,親子天下,2024-04-02,
9789579654562,才能的真相：為什麼學霸的職涯淪入平庸，墊底的卻大放異彩？日本補習班天王用超過1300名學生的故事告訴你,坪田信貴,王榆琮,大是文化,
9786263933378,夢華老師的多元筆記策略課（2）：促進閱讀與思考 多領域88個轉化實例，適用於手寫、平板、語音、個人與小組共作！,洪夢華,五南圖書出版股份有限公司,2024-05-28,
9786263933361,夢華老師的多元筆記策略課（1）：促進閱讀與思考 多領域84個轉化實例，適用於手寫、平板、語音、個人與小組共作！,洪夢華,五南圖書出版股份有限公司,2024-05-28,
9789861737478,髒話文化史,露絲‧韋津利,嚴韻,麥田,
9789864064113,親師衝突：如何溝通？達成親師生三贏,蘇明進,寶瓶文化事業股份有限公司,2024-05-13,
9789869236850,世界記憶力冠軍的高效記憶筆記：亞馬遜書店5顆星大好評的超強記憶術！培養想像力×提升創造力=激發無限競爭力,2016-01-01,Not Found,Not Found,
9789865752118,男孩與媽媽的共學筆記：放學後的翻轉教育，適性引導、自主學習與尊重互助的歷程,顏文貞,新手父母,2014-08-08,
9789864773824,比上補習班更有效率的自學讀書法：腦科學實證，司法特考一次過關菁英的自學自習讀書術,鬼頭政人,簡琪婷,商周出版,
9786267148686,國中生子彈筆記考試法：學霸校長教你只要100天，讓各科滿分的K書技巧！（暢銷紀念版）,謝龍卿,大樂文化,2023-07-17,
9789570864410,每一天，只要比昨天多用功5分鐘就好：首爾、延世大學學霸，撼動45萬韓國學子的反敗為勝讀書心法 (電子書),朴成赫,林侑毅,聯經出版公司,
9789864593606,田口護的精品咖啡大全（暢銷平裝版）,田口護,黃薇嬪,積木文化,
9789865252250,換心店（2022年新版）【金石堂、博客來熱銷】,2022-04-01,Not Found,Not Found,
9789865255015,呼叫換心店,梨屋有枝,周姚萍,小天下,
9786263057135,穿越驚奇圖書館1被封印的格林兄弟 (電子書),廣?玲子,王蘊潔,親子天下,
9786263057142,穿越驚奇圖書館2搶救天方夜譚說書人 (電子書),廣?玲子,王蘊潔,親子天下,
9789865706050,販賣夢想的男人,百田尚樹,葉韋利,春天,
9786267199473,圍棋精選題庫五：三段到六段之高階布局、實戰攻防、中盤與死活【金石堂、博客來熱銷】,聶衛平、黃希文,達觀出版事業有限公司,2023-01-01,
9789869769310,圍棋自學手冊：手筋篇【金石堂、博客來熱銷】,杜維新,達觀出版事業有限公司,2019-07-01,
9789579380430,萬有解答貓公司的故事,徐國能,步步,2019-09-04,
9789869830362,圍棋精選題庫 2：入門到初段之定式、中盤與官子,聶衛平、黃希文,達觀出版社,2020-02-01,
9786263052345,超展開實驗室︰用科學力解密電影動漫、用實驗力重現神力道具,施奇廷、許經夌、陳翰諄,親子天下（親子教養童書）,2022-05-31,
9786267199466,圍棋精選題庫6：三段到六段之中盤攻防與全局官子【金石堂、博客來熱銷】,聶衛平、黃希文,達觀出版事業有限公司,2023-02-20,
9786269655038,哈利波特之母：J.K.羅琳,管家琪,大好文化企業社,2022-10-24,
9789860688597,跟費曼一起玩科學,管家琪,大好文化企業社,2022-03-11,
9786269543304,珍古德的黑猩猩情緣,管家琪,大好文化企業社,2022-03-11,
9786263582767,10歲開始學專案管理：培養中小學生設定目標、訂定計畫、達成任務、自我管理的能力! (電子書),伊藤大輔(監修),伊之文,三采,
9789865066222,56天還你濃密頭髮,方基浩,高寶,2023-01-18,
9786267312025,史匹柏的電影情緣,管家琪,大好文化企業社,2023-04-13,
9786267312018,螞蟻先生：生物學家威爾森,管家琪,大好文化企業社,2023-05-11,
9786263496149,【醫學推理系列1】醫學之卵：進擊的少年醫學生,海堂尊,王華懋,采實文化事業股份有限公司,
9789866363917,讀書之神特訓班（上）：考試高分就靠這一本,金東奐、金彥庭,世茂,2011-02-24,
9789865071493,Not Found,Not Found,Not Found,Not Found,
9771993446007,Not Found,Not Found,Not Found,Not Found,
9789573244738,史前的人類,郝廣才、蔣杰,N/A,2001-10-01,
9789573244844,漫畫台灣歷史故事12－戰後,郝廣才,遠流出版事業股份有限公司,2001-10-05,
9789573244837,漫畫台灣歷史故事11－皇民化與戰爭,郝廣才,遠流出版事業股份有限公司,2001-10-05,
